Species Weight L1 L2 L3 Height Width L21 L32 L31
roach  180.0 23.6 25.2 27.9 25.4 14.0 1.6 2.7 4.3
roach  290.0 24.0 26.0 29.2 30.4 15.4 2.0 3.2 5.2
roach  272.0 25.0 27.0 30.6 28.0 15.6 2.0 3.6 5.6
roach  390.0 29.5 31.7 35.0 27.1 15.3 2.2 3.3 5.5
parki   55.0 13.5 14.7 16.5 41.5 14.1 1.2 1.8 3.0
parki   60.0 14.3 15.5 17.4 37.8 13.3 1.2 1.9 3.1
parki   90.0 16.3 17.7 19.8 37.4 13.5 1.4 2.1 3.5
parki  120.0 17.5 19.0 21.3 39.4 13.7 1.5 2.3 3.8
parki  150.0 18.4 20.0 22.4 39.7 14.7 1.6 2.4 4.0
parki  140.0 19.0 20.7 23.2 36.8 14.2 1.7 2.5 4.2
parki  170.0 19.0 20.7 23.2 40.5 14.7 1.7 2.5 4.2
parki  200.0 21.2 23.0 25.8 40.1 14.2 1.8 2.8 4.6
parki  273.0 23.0 25.0 28.0 39.6 14.8 2.0 3.0 5.0
parki  300.0 24.0 26.0 29.0 39.2 14.6 2.0 3.0 5.0
smelt    6.7  9.3  9.8 10.8 16.1  9.7 0.5 1.0 1.5
smelt    7.5 10.0 10.5 11.6 17.0 10.0 0.5 1.1 1.6
smelt    7.0 10.1 10.6 11.6 14.9  9.9 0.5 1.0 1.5
smelt    9.7 10.4 11.0 12.0 18.3 11.5 0.6 1.0 1.6
smelt   10.0 11.3 11.8 13.1 16.9  9.8 0.5 1.3 1.8
smelt    9.9 11.3 11.8 13.1 16.9  8.9 0.5 1.3 1.8
smelt    9.8 11.4 12.0 13.2 16.7  8.7 0.6 1.2 1.8
smelt   12.2 11.5 12.2 13.4 15.6 10.4 0.7 1.2 1.9
smelt   13.4 11.7 12.4 13.5 18.0  9.4 0.7 1.1 1.8
smelt   12.2 12.1 13.0 13.8 16.5  9.1 0.9 0.8 1.7
smelt   19.7 13.2 14.3 15.2 18.9 13.6 1.1 0.9 2.0
smelt   19.9 13.8 15.0 16.2 18.1 11.6 1.2 1.2 2.4
pike  200.0 30.0 32.3 34.8 16.0  9.7 2.3 2.5 4.8
pike  300.0 31.7 34.0 37.8 15.1 11.0 2.3 3.8 6.1
pike  300.0 32.7 35.0 38.8 15.3 11.3 2.3 3.8 6.1
pike  300.0 34.8 37.3 39.8 15.8 10.1 2.5 2.5 5.0
pike  430.0 35.5 38.0 40.5 18.0 11.3 2.5 2.5 5.0
pike  456.0 40.0 42.5 45.5 16.0  9.5 2.5 3.0 5.5
pike  510.0 40.0 42.5 45.5 15.0  9.8 2.5 3.0 5.5
pike  540.0 40.1 43.0 45.8 17.0 11.2 2.9 2.8 5.7
pike  500.0 42.0 45.0 48.0 14.5 10.2 3.0 3.0 6.0
pike  567.0 43.2 46.0 48.7 16.0 10.0 2.8 2.7 5.5
pike  770.0 44.8 48.0 51.2 15.0 10.5 3.2 3.2 6.4
pike  950.0 48.3 51.7 55.1 16.2 11.2 3.4 3.4 6.8
pike 1250.0 52.0 56.0 59.7 17.9 11.7 4.0 3.7 7.7
pike 1600.0 56.0 60.0 64.0 15.0  9.6 4.0 4.0 8.0
pike 1550.0 56.0 60.0 64.0 15.0  9.6 4.0 4.0 8.0
pike 1650.0 59.0 63.4 68.0 15.9 11.0 4.4 4.6 9.0
perch    5.9  7.5  8.4  8.8 24.0 16.0 0.9 0.4 1.3
perch   32.0 12.5 13.7 14.7 24.0 13.6 1.2 1.0 2.2
perch   40.0 13.8 15.0 16.0 23.9 15.2 1.2 1.0 2.2
perch   51.5 15.0 16.2 17.2 26.7 15.3 1.2 1.0 2.2
perch   70.0 15.7 17.4 18.5 24.8 15.9 1.7 1.1 2.8
perch  100.0 16.2 18.0 19.2 27.2 17.3 1.8 1.2 3.0
perch   78.0 16.8 18.7 19.4 26.8 16.1 1.9 0.7 2.6
perch   80.0 17.2 19.0 20.2 27.9 15.1 1.8 1.2 3.0
perch   85.0 17.8 19.6 20.8 24.7 14.6 1.8 1.2 3.0
perch   85.0 18.2 20.0 21.0 24.2 13.2 1.8 1.0 2.8
perch  110.0 19.0 21.0 22.5 25.3 15.8 2.0 1.5 3.5
perch  115.0 19.0 21.0 22.5 26.3 14.7 2.0 1.5 3.5
perch  125.0 19.0 21.0 22.5 25.3 16.3 2.0 1.5 3.5
perch  130.0 19.3 21.3 22.8 28.0 15.5 2.0 1.5 3.5
perch  120.0 20.0 22.0 23.5 26.0 14.5 2.0 1.5 3.5
perch  120.0 20.0 22.0 23.5 24.0 15.0 2.0 1.5 3.5
perch  130.0 20.0 22.0 23.5 26.0 15.0 2.0 1.5 3.5
perch  135.0 20.0 22.0 23.5 25.0 15.0 2.0 1.5 3.5
perch  110.0 20.0 22.0 23.5 23.5 17.0 2.0 1.5 3.5
perch  130.0 20.5 22.5 24.0 24.4 15.1 2.0 1.5 3.5
perch  150.0 20.5 22.5 24.0 28.3 15.1 2.0 1.5 3.5
perch  145.0 20.7 22.7 24.2 24.6 15.0 2.0 1.5 3.5
perch  150.0 21.0 23.0 24.5 21.3 14.8 2.0 1.5 3.5
perch  170.0 21.5 23.5 25.0 25.1 14.9 2.0 1.5 3.5
perch  225.0 22.0 24.0 25.5 28.6 14.6 2.0 1.5 3.5
perch  145.0 22.0 24.0 25.5 25.0 15.0 2.0 1.5 3.5
perch  188.0 22.6 24.6 26.2 25.7 15.9 2.0 1.6 3.6
perch  180.0 23.0 25.0 26.5 24.3 13.9 2.0 1.5 3.5
perch  197.0 23.5 25.6 27.0 24.3 15.7 2.1 1.4 3.5
perch  218.0 25.0 26.5 28.0 25.6 14.8 1.5 1.5 3.0
perch  300.0 25.2 27.3 28.7 29.0 17.9 2.1 1.4 3.5
perch  260.0 25.4 27.5 28.9 24.8 15.0 2.1 1.4 3.5
perch  265.0 25.4 27.5 28.9 24.4 15.0 2.1 1.4 3.5
perch  250.0 25.4 27.5 28.9 25.2 15.8 2.1 1.4 3.5
perch  250.0 25.9 28.0 29.4 26.6 14.3 2.1 1.4 3.5
perch  300.0 26.9 28.7 30.1 25.2 15.4 1.8 1.4 3.2
perch  320.0 27.8 30.0 31.6 24.1 15.1 2.2 1.6 3.8
perch  514.0 30.5 32.8 34.0 29.5 17.7 2.3 1.2 3.5
perch  556.0 32.0 34.5 36.5 28.1 17.5 2.5 2.0 4.5
perch  840.0 32.5 35.0 37.3 30.8 20.9 2.5 2.3 4.8
perch  685.0 34.0 36.5 39.0 27.9 17.6 2.5 2.5 5.0
perch  700.0 34.0 36.0 38.3 27.7 17.6 2.0 2.3 4.3
perch  700.0 34.5 37.0 39.4 27.5 15.9 2.5 2.4 4.9
perch  690.0 34.6 37.0 39.3 26.9 16.2 2.4 2.3 4.7
perch  900.0 36.5 39.0 41.4 26.9 18.1 2.5 2.4 4.9
perch  650.0 36.5 39.0 41.4 26.9 14.5 2.5 2.4 4.9
perch  820.0 36.6 39.0 41.3 30.1 17.8 2.4 2.3 4.7
perch  850.0 36.9 40.0 42.3 28.2 16.8 3.1 2.3 5.4
perch  820.0 37.1 40.0 42.5 26.2 15.6 2.9 2.5 5.4
perch 1100.0 39.0 42.0 44.6 28.7 15.4 3.0 2.6 5.6
perch 1000.0 39.8 43.0 45.2 26.4 16.1 3.2 2.2 5.4
perch 1100.0 40.1 43.0 45.5 27.5 16.3 2.9 2.5 5.4
perch 1000.0 40.2 43.5 46.0 27.4 17.7 3.3 2.5 5.8
perch 1000.0 41.1 44.0 46.6 26.8 16.3 2.9 2.6 5.5
