Education South Gender Experience Union Wage Age Race Occupation Sector Mstat
ED3 S0 G1 EX1 U0 4.5 A1 R3 O1 SE0 M1
ED4 S1 G1 EX1 U0 10 A2 R3 O1 SE0 M0
ED2 S0 G0 EX2 U0 10 A2 R3 O1 SE0 M1
ED4 S0 G0 EX1 U1 10 A1 R2 O1 SE0 M1
ED4 S0 G1 EX2 U0 9.37 A2 R3 O1 SE0 M1
ED4 S0 G0 EX1 U0 5.8 A2 R3 O1 SE0 M1
ED3 S0 G0 EX2 U0 17.86 A3 R3 O1 SE0 M0
ED3 S0 G0 EX2 U0 1 A2 R3 O1 SE0 M1
ED3 S1 G0 EX3 U0 8.8 A3 R3 O1 SE0 M1
ED4 S0 G0 EX1 U0 9 A1 R1 O1 SE0 M1
ED4 S1 G0 EX1 U0 18.16 A2 R3 O1 SE0 M0
ED3 S1 G1 EX1 U0 7.81 A1 R3 O1 SE0 M0
ED4 S0 G1 EX1 U0 10.62 A1 R3 O1 SE1 M1
ED3 S0 G1 EX1 U0 4.5 A1 R3 O1 SE0 M1
ED4 S0 G0 EX2 U0 17.25 A3 R3 O1 SE0 M1
ED3 S0 G1 EX1 U0 10.5 A1 R3 O1 SE1 M1
ED3 S0 G1 EX1 U0 9.22 A1 R3 O1 SE0 M1
ED4 S0 G0 EX2 U1 15 A2 R1 O1 SE1 M1
ED4 S0 G0 EX1 U0 22.5 A2 R3 O1 SE0 M1
ED3 S0 G1 EX2 U0 4.55 A3 R3 O2 SE0 M1
ED3 S0 G0 EX1 U0 9 A2 R3 O2 SE0 M1
ED4 S0 G0 EX1 U0 13.33 A2 R3 O2 SE0 M1
ED3 S0 G0 EX2 U0 15 A2 R3 O2 SE0 M0
ED3 S0 G0 EX1 U0 7.5 A1 R3 O2 SE0 M0
ED3 S1 G1 EX2 U0 4.25 A2 R3 O2 SE0 M1
ED3 S0 G0 EX3 U0 12.5 A3 R3 O2 SE1 M1
ED3 S0 G1 EX1 U0 5.13 A1 R3 O2 SE0 M1
ED4 S1 G1 EX1 U0 3.35 A2 R1 O2 SE0 M1
ED3 S1 G0 EX2 U0 11.11 A2 R3 O2 SE0 M1
ED3 S1 G1 EX2 U0 3.84 A2 R1 O2 SE0 M1
ED3 S0 G1 EX3 U0 6.4 A3 R3 O2 SE0 M1
ED3 S1 G0 EX1 U0 5.56 A1 R3 O2 SE0 M0
ED3 S1 G0 EX2 U0 10 A2 R3 O2 SE1 M1
ED4 S0 G1 EX1 U0 5.65 A1 R3 O2 SE0 M1
ED4 S0 G0 EX1 U0 11.5 A2 R3 O2 SE0 M1
ED3 S0 G1 EX2 U0 3.5 A3 R3 O2 SE0 M1
ED3 S1 G1 EX1 U0 3.35 A1 R3 O2 SE0 M1
ED3 S1 G1 EX1 U0 4.75 A1 R3 O2 SE0 M0
ED3 S1 G0 EX3 U0 19.98 A3 R3 O2 SE0 M1
ED3 S1 G1 EX1 U0 3.5 A1 R3 O2 SE0 M1
ED3 S0 G1 EX1 U0 4 A1 R3 O2 SE0 M0
ED3 S0 G0 EX1 U0 7 A1 R3 O2 SE0 M1
ED3 S0 G1 EX1 U0 6.25 A1 R3 O2 SE1 M1
ED3 S0 G0 EX1 U0 4.5 A2 R3 O2 SE0 M1
ED3 S0 G1 EX2 U0 14.29 A3 R3 O2 SE0 M1
ED3 S0 G1 EX1 U0 5 A1 R3 O2 SE0 M1
ED3 S0 G0 EX2 U0 13.75 A2 R3 O2 SE0 M1
ED3 S0 G0 EX3 U1 13.71 A3 R3 O2 SE0 M1
ED3 S1 G1 EX2 U0 7.5 A2 R1 O2 SE0 M1
ED3 S0 G1 EX1 U0 3.8 A1 R3 O2 SE0 M0
ED3 S0 G0 EX1 U0 5 A1 R2 O2 SE0 M0
ED3 S1 G0 EX2 U0 9.42 A3 R3 O2 SE0 M1
ED3 S0 G0 EX2 U0 5.5 A2 R3 O2 SE0 M1
ED4 S1 G0 EX1 U0 3.75 A1 R3 O2 SE0 M0
ED3 S0 G0 EX2 U0 3.5 A3 R3 O2 SE0 M1
ED3 S0 G0 EX1 U0 5.8 A1 R3 O2 SE0 M0
ED4 S0 G0 EX1 U0 12 A2 R3 O2 SE1 M1
ED3 S0 G1 EX1 U0 5 A2 R2 O3 SE0 M1
ED3 S1 G1 EX1 U0 8.75 A1 R3 O3 SE0 M1
ED4 S0 G1 EX1 U0 10 A1 R3 O3 SE0 M1
ED3 S0 G1 EX2 U0 8.5 A2 R3 O3 SE0 M0
ED3 S0 G1 EX1 U0 8.63 A2 R1 O3 SE0 M1
ED4 S0 G1 EX2 U0 9 A3 R3 O3 SE1 M1
ED4 S0 G1 EX1 U0 5.5 A1 R3 O3 SE0 M0
ED3 S0 G0 EX1 U0 11.11 A1 R3 O3 SE0 M1
ED3 S0 G1 EX2 U0 10 A2 R3 O3 SE0 M0
ED4 S1 G1 EX1 U0 5.2 A2 R2 O3 SE0 M1
ED3 S0 G1 EX1 U1 8 A2 R3 O3 SE0 M0
ED3 S1 G1 EX1 U0 3.56 A1 R2 O3 SE0 M0
ED3 S0 G1 EX2 U0 5.2 A2 R3 O3 SE0 M1
ED3 S0 G1 EX3 U0 11.67 A3 R3 O3 SE2 M1
ED3 S0 G1 EX1 U0 11.32 A1 R3 O3 SE1 M1
ED3 S1 G1 EX1 U0 7.5 A2 R3 O3 SE0 M1
ED3 S0 G1 EX2 U0 5.5 A2 R3 O3 SE0 M1
ED4 S1 G1 EX1 U0 5 A1 R3 O3 SE0 M1
ED3 S0 G1 EX2 U0 7.75 A2 R3 O3 SE0 M1
ED3 S0 G1 EX3 U0 5.25 A3 R3 O3 SE0 M1
ED3 S0 G0 EX2 U1 9 A2 R3 O3 SE0 M1
ED3 S0 G1 EX3 U0 9.65 A3 R3 O3 SE0 M1
ED4 S1 G0 EX1 U0 5.21 A2 R3 O3 SE0 M1
ED3 S0 G1 EX1 U0 7 A1 R1 O3 SE0 M1
ED3 S1 G1 EX2 U0 12.16 A3 R1 O3 SE0 M1
ED4 S1 G1 EX1 U0 5.25 A1 R3 O3 SE0 M0
ED3 S1 G1 EX2 U0 10.32 A2 R3 O3 SE0 M0
ED4 S0 G0 EX1 U0 3.35 A1 R1 O3 SE0 M0
ED3 S0 G1 EX1 U1 7.7 A1 R3 O3 SE0 M0
ED3 S0 G1 EX3 U0 9.17 A3 R3 O3 SE1 M1
ED3 S1 G0 EX1 U0 8.43 A1 R3 O3 SE0 M1
ED3 S1 G0 EX1 U0 4 A1 R1 O3 SE0 M1
ED3 S0 G1 EX1 U0 4.13 A1 R3 O3 SE0 M1
ED3 S1 G1 EX2 U0 3 A2 R3 O3 SE0 M1
ED3 S1 G1 EX1 U0 4.25 A1 R3 O3 SE0 M0
ED3 S1 G0 EX1 U0 7.53 A1 R3 O3 SE0 M0
ED3 S0 G1 EX1 U0 10.53 A1 R3 O3 SE1 M1
ED3 S0 G1 EX3 U0 5 A3 R3 O3 SE0 M1
ED3 S0 G1 EX2 U0 15.03 A2 R3 O3 SE0 M1
ED4 S0 G1 EX2 U0 11.25 A3 R1 O3 SE0 M1
ED4 S0 G0 EX1 U0 6.25 A1 R1 O3 SE0 M0
ED3 S0 G1 EX2 U0 3.5 A2 R1 O3 SE0 M0
ED3 S0 G0 EX1 U0 6.85 A1 R1 O3 SE0 M0
ED3 S0 G1 EX1 U0 12.5 A2 R3 O3 SE0 M1
ED3 S1 G0 EX1 U0 12 A1 R3 O3 SE0 M0
ED3 S0 G0 EX2 U0 6 A3 R3 O3 SE0 M0
ED3 S0 G1 EX2 U0 9.5 A2 R3 O3 SE0 M0
ED3 S0 G1 EX1 U0 4.1 A1 R3 O3 SE0 M1
ED3 S1 G1 EX1 U0 10.43 A2 R3 O3 SE0 M1
ED3 S0 G1 EX1 U0 5 A1 R3 O3 SE0 M0
ED3 S0 G0 EX2 U0 7.69 A2 R3 O3 SE0 M1
ED3 S0 G1 EX2 U0 5.5 A2 R1 O3 SE0 M0
ED3 S0 G1 EX1 U0 6.4 A1 R3 O3 SE0 M0
ED3 S0 G1 EX1 U1 12.5 A1 R3 O3 SE0 M1
ED3 S0 G1 EX2 U0 6.25 A3 R3 O3 SE0 M1
ED3 S0 G1 EX1 U0 8 A1 R3 O3 SE0 M0
ED2 S0 G0 EX2 U1 9.6 A2 R3 O3 SE0 M0
ED3 S0 G0 EX1 U0 9.1 A2 R2 O3 SE0 M0
ED3 S1 G1 EX2 U0 7.5 A2 R3 O3 SE0 M0
ED3 S1 G1 EX1 U0 5 A1 R3 O3 SE0 M1
ED3 S0 G1 EX1 U1 7 A1 R3 O3 SE0 M1
ED3 S1 G1 EX1 U0 3.55 A1 R3 O3 SE0 M0
ED3 S1 G0 EX1 U0 8.5 A1 R1 O3 SE0 M0
ED3 S1 G1 EX1 U0 4.5 A1 R3 O3 SE0 M0
ED4 S0 G0 EX1 U0 7.88 A2 R1 O3 SE0 M1
ED3 S0 G1 EX1 U0 5.25 A1 R3 O3 SE0 M0
ED3 S1 G0 EX1 U0 5 A1 R3 O3 SE0 M0
ED3 S0 G1 EX1 U0 9.33 A1 R3 O3 SE0 M0
ED3 S0 G1 EX2 U0 10.5 A2 R3 O3 SE0 M1
ED3 S1 G1 EX2 U0 7.5 A2 R1 O3 SE0 M1
ED3 S1 G1 EX3 U0 9.5 A3 R3 O3 SE0 M1
ED3 S1 G1 EX1 U0 9.6 A1 R3 O3 SE0 M1
ED4 S1 G1 EX1 U0 5.87 A1 R1 O3 SE0 M0
ED3 S1 G0 EX1 U1 11.02 A1 R3 O3 SE0 M1
ED3 S1 G1 EX2 U0 5 A2 R3 O3 SE0 M0
ED3 S0 G1 EX2 U0 5.62 A3 R3 O3 SE0 M1
ED4 S0 G1 EX1 U0 12.5 A1 R3 O3 SE0 M1
ED3 S0 G1 EX3 U0 10.81 A3 R3 O3 SE0 M1
ED3 S0 G1 EX1 U0 5.4 A2 R3 O3 SE1 M1
ED3 S0 G1 EX1 U0 7 A1 R3 O3 SE0 M0
ED3 S1 G1 EX2 U0 4.59 A3 R3 O3 SE2 M1
ED3 S0 G1 EX2 U0 6 A2 R3 O3 SE0 M1
ED4 S0 G1 EX3 U0 11.71 A3 R3 O3 SE1 M0
ED3 S0 G1 EX1 U0 5.62 A1 R2 O3 SE0 M1
ED3 S0 G1 EX2 U0 5.5 A3 R3 O3 SE0 M1
ED3 S1 G1 EX1 U0 4.85 A1 R3 O3 SE0 M1
ED3 S0 G0 EX2 U0 6.75 A2 R3 O3 SE0 M0
ED3 S0 G1 EX2 U0 4.25 A2 R3 O3 SE0 M1
ED3 S0 G1 EX1 U0 5.75 A1 R3 O3 SE0 M1
ED3 S0 G0 EX2 U0 3.5 A3 R3 O3 SE0 M1
ED3 S0 G1 EX1 U0 3.35 A1 R3 O3 SE0 M1
ED3 S0 G1 EX3 U0 10.62 A3 R3 O3 SE1 M0
ED3 S0 G1 EX1 U0 8 A1 R3 O3 SE0 M0
ED3 S1 G1 EX1 U0 4.75 A1 R3 O3 SE0 M1
ED4 S1 G0 EX1 U0 8.5 A1 R3 O3 SE0 M0
ED3 S0 G1 EX2 U1 8.85 A2 R1 O3 SE0 M1
ED3 S1 G1 EX1 U0 8 A1 R3 O3 SE0 M1
ED1 S0 G0 EX3 U0 6 A3 R3 O4 SE0 M1
ED3 S0 G0 EX1 U0 7.14 A2 R3 O4 SE0 M1
ED2 S0 G1 EX2 U0 3.4 A2 R1 O4 SE0 M1
ED4 S1 G1 EX2 U0 6 A2 R3 O4 SE0 M0
ED1 S0 G0 EX1 U0 3.75 A1 R2 O4 SE0 M0
ED2 S0 G1 EX2 U0 8.89 A2 R1 O4 SE0 M0
ED3 S0 G1 EX2 U0 4.35 A2 R3 O4 SE0 M1
ED2 S1 G1 EX3 U0 13.1 A3 R1 O4 SE0 M1
ED2 S1 G1 EX3 U0 4.35 A3 R1 O4 SE0 M1
ED2 S0 G0 EX3 U0 3.5 A3 R3 O4 SE0 M0
ED3 S0 G1 EX1 U0 3.8 A2 R3 O4 SE0 M0
ED2 S0 G1 EX3 U0 5.26 A3 R3 O4 SE0 M1
ED3 S0 G0 EX1 U0 3.35 A1 R1 O4 SE0 M0
ED3 S0 G0 EX1 U1 16.26 A1 R1 O4 SE0 M0
ED3 S0 G1 EX1 U0 4.25 A1 R3 O4 SE0 M1
ED4 S0 G0 EX2 U0 4.5 A2 R3 O4 SE0 M1
ED3 S0 G1 EX1 U0 8 A2 R3 O4 SE0 M1
ED4 S0 G1 EX2 U0 4 A2 R3 O4 SE0 M0
ED3 S0 G1 EX1 U0 7.96 A1 R3 O4 SE0 M1
ED3 S1 G0 EX1 U0 4 A1 R2 O4 SE0 M0
ED3 S0 G0 EX1 U0 4.15 A1 R3 O4 SE0 M1
ED3 S1 G0 EX1 U0 5.95 A1 R3 O4 SE0 M1
ED3 S1 G1 EX3 U0 3.6 A3 R2 O4 SE0 M1
ED2 S1 G0 EX2 U0 8.75 A2 R3 O4 SE0 M0
ED2 S0 G1 EX3 U0 3.4 A3 R3 O4 SE0 M0
ED3 S0 G1 EX3 U0 4.28 A3 R3 O4 SE0 M1
ED3 S0 G1 EX1 U0 5.35 A1 R3 O4 SE0 M1
ED3 S0 G1 EX1 U0 5 A1 R3 O4 SE0 M1
ED3 S0 G0 EX2 U0 7.65 A2 R3 O4 SE0 M0
ED3 S0 G1 EX1 U0 6.94 A1 R3 O4 SE0 M0
ED3 S0 G1 EX1 U1 7.5 A1 R3 O4 SE1 M1
ED3 S0 G1 EX1 U0 3.6 A1 R3 O4 SE0 M0
ED3 S1 G1 EX1 U0 1.75 A1 R3 O4 SE0 M1
ED3 S1 G1 EX1 U0 3.45 A1 R1 O4 SE0 M0
ED3 S0 G0 EX2 U1 9.63 A2 R3 O4 SE0 M1
